Number,l,b,VLSR,p l,p b,S,p V,Tpeak,Tmin,L CO,MVT,a,Flag
1 . . . . . . . .,-0.784,-0.094,-141,0.056,0.042,12.4,10.4,12.8,5,3.90E+04,2.70E+06,2.60E-03,
2 . . . . . . . .,-0.784,-0.047,-13,0.057,0.072,17.3,14.5,11.7,5,2.30E+05,7.30E+06,1.30E-02,D
3 . . . . . . . .,-0.784,0.179,15,0.01,0.017,3.8,13,10.2,5,1.70E+04,1.30E+06,2.10E-03,D
4 . . . . . . . .,-0.774,-0.094,-133,0.03,0.035,8,4.1,14.2,5,3.20E+04,2.70E+05,1.80E-01,
5 . . . . . . . .,-0.737,0.066,-41,0.023,0.033,7.7,7.1,10.8,5,2.50E+04,7.80E+05,1.40E-02,D
6 . . . . . . . .,-0.727,-0.047,15,0.044,0.101,17.6,7.1,12.1,5,1.90E+05,1.80E+06,1.50E-01,D
7 . . . . . . . .,-0.727,-0.047,19,0.037,0.049,11,23.3,12.6,5,5.10E+04,1.20E+07,2.30E-04,D
8 . . . . . . . .,-0.727,0.038,147,0.063,0.054,15.9,28.1,11.5,5,4.10E+05,2.50E+07,3.40E-03,
9 . . . . . . . .,-0.718,-0.057,-121,0.026,0.023,7,12.7,15.8,7.5,8.10E+04,2.30E+06,1.60E-02,
10 . . . . . .,-0.718,-0.038,-47,0.023,0.016,5.5,6.5,10.2,5,1.00E+04,4.60E+05,6.30E-03,D
11 . . . . . .,-0.689,-0.028,-111,0.038,0.019,7.6,8.2,16.1,7.5,4.90E+04,1.00E+06,2.90E-02,
12 . . . . . .,-0.652,-0.019,-101,0.037,0.016,6.1,8,13.8,5,7.20E+03,7.80E+05,1.10E-03,
13 . . . . . .,-0.652,-0.019,-99,0.021,0.014,4.5,7.3,12.5,5,1.40E+04,4.70E+05,1.10E-02,
14 . . . . . .,-0.595,0.321,3,0.03,0.042,9.5,8.2,11.7,5,1.60E+04,1.30E+06,2.00E-03,D
15 . . . . . .,-0.567,-0.066,-67,0.022,0.015,4,5.7,17.8,5,1.50E+04,2.60E+05,4.10E-02,
16 . . . . . .,-0.567,-0.066,-65,0.025,0.014,4.8,7.6,18.1,7.5,2.80E+04,5.70E+05,3.20E-02,
17 . . . . . .,-0.538,-0.057,-101,0.097,0.033,14.7,23.7,25.2,10,5.10E+05,1.70E+07,1.20E-02,
18 . . . . . .,-0.538,-0.057,-101,0.1,0.038,14.3,25.9,25.2,7.5,5.50E+05,1.90E+07,1.00E-02,
19 . . . . . .,-0.538,-0.057,-101,0.137,0.053,17.6,30,25.2,5,7.40E+05,3.20E+07,6.80E-03,
20 . . . . . .,-0.529,-0.132,-47,0.079,0.042,15.6,7.6,23,10,3.50E+05,1.80E+06,4.80E-01,D
21 . . . . . .,-0.529,-0.132,-47,0.101,0.05,16.8,6.8,23,7.5,4.10E+05,1.60E+06,8.90E-01,D
22 . . . . . .,-0.529,-0.132,-47,0.132,0.073,20.6,6.2,23,5,5.20E+05,1.60E+06,1.30E+00,D
23 . . . . . .,-0.519,-0.17,-65,0.042,0.027,8.6,11.2,25.8,10,2.00E+05,2.20E+06,1.00E-01,
24 . . . . . .,-0.519,-0.17,-65,0.05,0.032,9,10.3,25.8,7.5,2.00E+05,1.90E+06,1.40E-01,
25 . . . . . .,-0.519,-0.17,-65,0.058,0.043,10.2,10.3,25.8,5,2.20E+05,2.20E+06,1.40E-01,
26 . . . . . .,-0.519,0.132,-149,0.028,0.024,6.8,17.5,12.4,5,6.30E+04,4.20E+06,2.90E-03,
27 . . . . . .,-0.482,-0.302,-113,0.036,0.036,10.5,25.7,10,5,1.10E+05,1.40E+07,8.10E-04,
28 . . . . . .,-0.482,0.123,-149,0.016,0.011,3.6,12.8,12.3,5,1.90E+04,1.20E+06,3.50E-03,
29 . . . . . .,-0.472,-0.123,-7,0.014,0.036,6.4,7.4,10.8,5,2.70E+04,7.00E+05,1.90E-02,D
30 . . . . . .,-0.434,-0.085,-21,0.017,0.024,5.7,7,20.8,10,4.40E+04,5.60E+05,8.20E-02,D
31 . . . . . .,-0.434,-0.085,-21,0.054,0.051,13,6.1,20.8,7.5,9.20E+04,9.60E+05,1.20E-01,D
32 . . . . . .,-0.425,-0.246,-77,0.01,0.012,3.3,16.4,10,5,2.40E+04,1.80E+06,2.30E-03,
33 . . . . . .,-0.425,-0.076,-177,0.02,0.011,4,9.6,11.4,5,1.70E+04,7.40E+05,6.70E-03,
34 . . . . . .,-0.378,-0.255,17,0.051,0.055,12.4,20.4,23.1,7.5,3.60E+05,1.00E+07,1.50E-02,D
35 . . . . . .,-0.378,-0.255,19,0.016,0.015,4.5,8.8,20.8,10,3.30E+04,7.10E+05,2.80E-02,
36 . . . . . .,-0.368,-0.255,19,0.022,0.034,5.9,9.4,20.5,5,4.70E+04,1.10E+06,2.60E-02,
37 . . . . . .,-0.359,-0.019,75,0.043,0.024,9,14.1,16.6,7.5,4.70E+04,3.60E+06,2.20E-03,
38 . . . . . .,-0.359,-0.019,75,0.034,0.05,9.5,16.2,16.6,5,9.60E+04,5.10E+06,4.60E-03,
39 . . . . . .,-0.312,-0.019,-43,0.031,0.025,7.9,5.9,21,10,5.20E+04,5.60E+05,1.10E-01,D
