;ID,   RA(2000),   Dec(2000),   Vlsr,      R,    d_R,   vrms, d_vrms,  vturb,d_vturb,        L,      d_L,     Mlum,   d_Mlum,   Tmax,    Omega,  d_Omega,    Theta,  d_Theta,      d
 ; ,    [h:m:s],     [d:m:s], [km/s],   [pc],   [pc], [km/s], [km/s],   [km/s],   [km/s],  [10^4*],  [10^4*],  [10^5*],  [10^5*],    [K],[km/s/pc],[km/s/pc], [degree], [degree],   [pc]
   1, 12:27:26.2,  11:06:27.9,  853.8,   0.00,   0.00,   1.50,   1.06,   1.25,   1.12,     0.92,     0.26,     0.43,     0.12,    3.8,     0.00,     0.00,       0.,       0.,    404
   2, 12:27:26.2,  11:06:28.2,  864.4,  16.69,   5.27,   4.81,   1.45,   2.81,   1.02,     3.01,     0.56,     1.40,     0.26,    3.3,     0.43,     0.14,     139.,      25.,    372
   3, 12:27:26.2,  11:06:27.6,  864.6,  23.45,   3.63,   6.69,   1.00,   3.79,   0.74,     4.99,     0.71,     2.32,     0.33,    3.8,     0.27,     0.04,     175.,      14.,    370
   4, 12:27:26.2,  11:06:27.4,  872.4,  20.18,   4.12,   4.47,   0.92,   2.95,   0.85,     2.59,     0.44,     1.21,     0.21,    3.4,     0.23,     0.09,     290.,      19.,    339
   5, 12:27:26.2,  11:06:27.8,  875.9,  46.89,   3.03,   5.53,   0.54,   2.35,   0.33,    11.49,     1.01,     5.35,     0.47,    4.2,     0.20,     0.01,     163.,       3.,    309
   6, 12:27:26.2,  11:06:27.0,  876.9,  17.79,   3.15,   4.51,   0.99,   2.86,   0.90,     2.34,     0.50,     1.09,     0.23,    3.4,     0.28,     0.09,     222.,      24.,    394
   7, 12:27:26.2,  11:06:26.8,  883.7,  17.76,   4.90,   5.10,   1.05,   2.93,   0.80,     2.96,     0.50,     1.38,     0.23,    3.9,     0.13,     0.04,     149.,      25.,    407
   8, 12:27:26.3,  11:06:28.3,  887.3,  18.99,   4.82,   3.58,   1.18,   1.83,   1.07,     1.50,     0.28,     0.70,     0.13,    3.8,     0.16,     0.10,     138.,      49.,    296
   9, 12:27:26.2,  11:06:28.5,  885.2,   0.00,   0.00,   3.62,   1.11,   3.08,   1.27,     1.27,     0.30,     0.59,     0.14,    3.7,     0.00,     0.00,       0.,       0.,    345
  10, 12:27:26.3,  11:06:27.7,  888.2,  29.40,   3.14,   4.81,   0.75,   2.97,   0.70,     4.69,     0.59,     2.18,     0.28,    3.8,     0.16,     0.03,     230.,      13.,    248
  11, 12:27:26.2,  11:06:26.7,  892.8,   0.00,   0.00,   2.84,   0.74,   2.52,   0.81,     0.99,     0.27,     0.46,     0.13,    4.2,     0.00,     0.00,       0.,       0.,    400
  12, 12:27:26.2,  11:06:26.9,  894.8,   0.00,   0.00,   5.49,   1.42,   3.11,   1.24,     1.38,     0.37,     0.64,     0.17,    3.5,     0.00,     0.00,       0.,       0.,    371
  13, 12:27:26.3,  11:06:27.2,  892.9,  26.18,   2.65,   6.34,   0.86,   3.22,   0.58,     6.12,     0.60,     2.85,     0.28,    4.8,     0.33,     0.03,     213.,       7.,    285
  14, 12:27:26.3,  11:06:27.8,  898.0,  26.25,   2.73,   5.14,   0.62,   2.52,   0.42,     5.33,     0.56,     2.49,     0.26,    4.4,     0.27,     0.02,     202.,       6.,    219
  15, 12:27:26.2,  11:06:28.6,  898.4,  14.93,   4.44,   3.36,   0.87,   2.46,   0.68,     2.37,     0.52,     1.11,     0.24,    3.5,     0.17,     0.07,      72.,      39.,    330
  16, 12:27:26.3,  11:06:26.9,  900.3,   0.00,   0.00,   5.08,   1.80,   2.57,   1.55,     1.37,     0.41,     0.64,     0.19,    2.7,     0.00,     0.00,       0.,       0.,    342
  17, 12:27:26.3,  11:06:27.0,  902.0,   0.00,   0.00,   4.76,   1.75,   4.20,   1.95,     0.82,     0.19,     0.38,     0.09,    3.8,     0.00,     0.00,       0.,       0.,    296
  18, 12:27:26.3,  11:06:28.3,  901.2,  16.35,   3.67,   5.70,   1.23,   2.18,   0.81,     1.75,     0.40,     0.81,     0.19,    3.3,     0.52,     0.19,     148.,      28.,    279
  19, 12:27:26.2,  11:06:26.4,  906.3,  14.16,   5.81,   6.04,   2.54,   4.16,   2.67,     1.48,     0.46,     0.69,     0.21,    2.8,     0.34,     0.92,     260.,     121.,    438
  20, 12:27:26.3,  11:06:27.3,  908.3,  20.56,   4.42,   3.33,   0.84,   2.51,   0.82,     2.57,     0.50,     1.20,     0.23,    3.6,     0.10,     0.04,     181.,      55.,    244
  21, 12:27:26.3,  11:06:27.7,  910.1,  20.14,   3.00,   4.92,   0.77,   2.91,   0.60,     4.04,     0.57,     1.88,     0.27,    4.0,     0.28,     0.06,     166.,      14.,    182
  22, 12:27:26.3,  11:06:28.4,  910.7,   0.00,   0.00,   3.19,   1.72,   1.84,   1.59,     0.57,     0.23,     0.27,     0.11,    3.0,     0.00,     0.00,       0.,       0.,    267
  23, 12:27:26.2,  11:06:26.6,  910.0,  21.66,   3.62,   6.01,   0.82,   4.30,   0.83,     4.83,     0.65,     2.25,     0.30,    4.3,     0.24,     0.05,     250.,      10.,    385
  24, 12:27:26.4,  11:06:27.8,  921.4,  37.41,   3.68,   7.81,   1.14,   3.16,   0.52,     6.48,     0.45,     3.02,     0.21,    5.2,     0.29,     0.04,     147.,       9.,    155
  25, 12:27:26.3,  11:06:28.5,  915.1,   0.00,   0.00,   5.02,   1.53,   1.94,   1.30,     0.80,     0.27,     0.37,     0.13,    3.3,     0.00,     0.00,       0.,       0.,    281
  26, 12:27:26.3,  11:06:26.4,  923.7,  12.74,   4.80,   3.90,   1.29,   2.75,   0.96,     2.13,     0.52,     0.99,     0.24,    3.4,     0.20,     0.08,     236.,      26.,    415
  27, 12:27:26.3,  11:06:28.4,  923.0,   9.58,   7.56,   4.07,   2.09,   2.41,   1.64,     0.63,     0.41,     0.30,     0.19,    2.4,     0.26,     0.09,     270.,       0.,    238
  28, 12:27:26.3,  11:06:28.6,  923.2,   7.15,   5.14,   3.03,   1.15,   1.96,   1.14,     1.04,     0.29,     0.48,     0.13,    3.6,     0.09,     0.08,     132.,     130.,    282
  29, 12:27:26.3,  11:06:28.9,  923.8,   0.00,   0.00,   7.43,   3.93,   1.54,   1.60,     0.45,     0.33,     0.21,     0.15,    2.5,     0.00,     0.00,       0.,       0.,    335
  30, 12:27:26.3,  11:06:26.5,  923.6,  10.07,   5.89,   5.23,   1.92,   2.86,   1.81,     1.01,     0.40,     0.47,     0.19,    2.8,     0.06,     0.19,     142.,     123.,    364
  31, 12:27:26.3,  11:06:29.0,  922.6,  11.08,   4.28,   6.34,   1.67,   2.86,   1.19,     1.31,     0.37,     0.61,     0.17,    3.4,     0.37,     0.18,     120.,      35.,    363
  32, 12:27:26.4,  11:06:27.6,  931.3,  36.04,   2.15,   8.29,   0.66,   3.27,   0.38,    12.74,     0.62,     5.94,     0.29,    5.8,     0.23,     0.01,     209.,       3.,    100
  33, 12:27:26.3,  11:06:26.7,  931.4,  10.38,   6.14,   4.16,   1.40,   2.61,   1.42,     1.41,     0.34,     0.66,     0.16,    3.1,     0.38,     0.33,     225.,     118.,    328
  34, 12:27:26.3,  11:06:26.4,  930.7,   0.00,   0.00,   3.08,   1.00,   2.20,   1.14,     1.17,     0.33,     0.55,     0.15,    3.3,     0.00,     0.00,       0.,       0.,    387
  35, 12:27:26.3,  11:06:27.1,  927.6,  18.88,   4.20,   4.99,   1.12,   2.49,   0.90,     1.96,     0.62,     0.91,     0.29,    2.9,     0.34,     0.17,     237.,      31.,    241
  36, 12:27:26.3,  11:06:28.9,  932.5,   0.00,   0.00,   4.61,   2.16,   2.55,   1.33,     0.94,     0.40,     0.44,     0.18,    3.0,     0.00,     0.00,       0.,       0.,    335
  37, 12:27:26.4,  11:06:27.2,  937.7,  14.99,   2.88,   7.78,   1.11,   4.71,   1.02,     3.66,     0.71,     1.71,     0.33,    3.5,     0.46,     0.15,     264.,      17.,    179
  38, 12:27:26.3,  11:06:28.4,  934.3,   0.00,   0.00,   4.06,   1.83,   2.66,   1.95,     0.88,     0.35,     0.41,     0.16,    2.5,     0.00,     0.00,       0.,       0.,    231
  39, 12:27:26.3,  11:06:26.2,  936.2,   0.00,   0.00,   4.39,   1.55,   3.09,   1.84,     1.15,     0.57,     0.54,     0.27,    2.5,     0.00,     0.00,       0.,       0.,    437
  40, 12:27:26.3,  11:06:27.0,  935.7,   0.00,   0.00,   1.70,   1.08,   1.38,   1.36,     0.40,     0.25,     0.19,     0.12,    2.6,     0.00,     0.00,       0.,       0.,    232
  41, 12:27:26.3,  11:06:29.2,  934.3,  11.79,   7.46,   3.07,   1.72,   1.56,   1.74,     0.83,     0.42,     0.39,     0.20,    2.5,     0.10,     0.28,     353.,     145.,    403
  42, 12:27:26.3,  11:06:26.4,  938.4,   0.00,   0.00,   3.35,   1.68,   2.29,   2.39,     0.44,     0.28,     0.20,     0.13,    2.5,     0.00,     0.00,       0.,       0.,    378
  43, 12:27:26.3,  11:06:28.7,  936.4,   0.00,   0.00,   4.03,   1.78,   2.55,   1.53,     1.16,     0.35,     0.54,     0.17,    3.0,     0.00,     0.00,       0.,       0.,    284
  44, 12:27:26.4,  11:06:28.4,  949.5,  16.86,   3.95,   8.58,   1.86,   3.48,   1.14,     2.29,     0.62,     1.07,     0.29,    2.8,     0.68,     0.20,     142.,      22.,    203
  45, 12:27:26.3,  11:06:28.7,  945.1,  11.01,   6.30,   4.35,   0.94,   2.87,   1.11,     2.27,     0.45,     1.06,     0.21,    3.6,     0.32,     0.09,     114.,      24.,    275
  46, 12:27:26.4,  11:06:27.2,  951.3,  14.12,   4.07,   9.76,   1.89,   3.19,   1.25,     2.17,     0.53,     1.01,     0.25,    2.8,     0.81,     0.32,     250.,      32.,    142
  47, 12:27:26.4,  11:06:28.0,  950.6,  16.99,   3.53,  10.28,   1.56,   4.10,   1.02,     4.41,     0.66,     2.06,     0.31,    3.9,     0.67,     0.19,      77.,      21.,    122
  48, 12:27:26.4,  11:06:27.0,  957.6,  16.81,   4.48,   4.80,   0.92,   3.30,   0.99,     2.83,     0.49,     1.32,     0.23,    3.4,     0.23,     0.15,     206.,      51.,    208
  49, 12:27:26.3,  11:06:26.4,  951.8,  20.04,   3.32,   5.56,   0.85,   4.22,   0.97,     4.87,     0.65,     2.27,     0.30,    3.7,     0.43,     0.08,     222.,      14.,    368
  50, 12:27:26.4,  11:06:28.8,  959.9,  10.54,   7.25,   5.16,   1.44,   2.95,   1.34,     1.82,     0.48,     0.85,     0.22,    2.8,     0.11,     0.18,     152.,      97.,    277
