;ID,   RA(2000),   Dec(2000),   Vlsr,      R,    d_R,   vrms, d_vrms,  vturb,d_vturb,        L,      d_L,     Mlum,   d_Mlum,   Tmax,    Omega,    Theta,      d
 ; ,    [h:m:s],     [d:m:s], [km/s],   [pc],   [pc], [km/s], [km/s],   [km/s],   [km/s],  [10^4*],  [10^4*],  [10^5*],  [10^5*],    [K],[km/s/pc], [degree],   [pc]
   1, 15:00:0.31,  1:53:31.51, 1167.7,   0.00,   0.00,   4.95,   5.61,   -NaN,   -NaN,    0.691,    1.773,    0.304,    0.780,    3.2,     0.09,     24.2,    333
   2, 15:00:0.33,  1:53:30.83, 1180.5,  16.54,  12.94,   2.34,   2.55,   2.09,   3.01,    2.749,    1.258,    1.210,    0.554,    4.2,     0.04,    256.0,    254
   3, 15:00:0.51,  1:53:31.74, 1179.5,   0.00,   0.00,   3.50,   9.87,   1.71,   2.56,    1.471,    3.502,    0.647,    1.541,    3.2,     0.22,    315.6,    542
   4, 15:00:0.37,  1:53:32.55, 1192.4,   0.00,   0.00,   2.30,   2.44,   1.61,   1.61,    1.162,    0.750,    0.511,    0.330,    3.3,     0.03,     75.5,    412
   5, 15:00:0.20,  1:53:33.19, 1194.0,   0.00,   0.00,   -NaN,    NaN,   -NaN,    NaN,    0.716,    0.935,    0.315,    0.412,    3.8,     0.00,    129.8,    633
   6, 15:00:0.48,  1:53:30.93, 1203.1,   0.00,   0.00,   3.78,   1.41,   2.52,   2.23,    2.268,    0.593,    0.998,    0.261,    4.5,     0.06,    183.2,    393
   7, 15:00:0.34,  1:53:31.44, 1203.2,  62.71,   1.94,  15.25,   0.48,  13.03,   0.46,  244.489,    4.515,  107.575,    1.986,   10.5,     0.19,    256.8,    293
   8, 15:00:0.25,  1:53:32.82, 1206.3,   0.00,   0.00,   2.03,   3.44,   1.23,   1.51,    0.988,    1.622,    0.435,    0.714,    3.6,     0.02,    231.6,    513
   9, 15:00:1.13,  1:53:36.93, 1203.8,   0.00,   0.00,   1.17,   2.38,   0.64,   1.72,    2.325,    4.545,    1.023,    2.000,    3.5,     0.04,    241.7,   2534
  10, 15:00:0.36,  1:53:32.47, 1207.2,  25.18,  10.77,   4.81,   1.89,   3.32,   1.99,   13.350,    4.005,    5.874,    1.762,    4.8,     0.13,    261.1,    399
  11, 15:00:0.38,  1:53:27.47, 1211.1,   0.00,   0.00,   6.05,   6.23,   1.09,   1.98,    2.332,    4.674,    1.026,    2.057,    3.2,     0.09,    206.8,    164
  12, 15:00:0.33,  1:53:32.93, 1210.5,  16.78,   9.50,   7.32,   3.00,   4.09,   2.37,    5.047,    1.314,    2.221,    0.578,    4.7,     0.22,    293.3,    448
  13, 15:00:0.47,  1:53:31.07, 1210.2,   0.00,   0.00,   4.60,   6.04,   3.13,   8.47,    3.863,    4.095,    1.700,    1.802,    4.4,     0.11,    197.5,    391
  14, 15:00:0.41,  1:53:31.51, 1206.5,  74.02,   2.00,   9.70,   0.38,   8.84,   0.40,  194.288,    4.457,   85.487,    1.961,   10.4,     0.08,    207.9,    325
  15, 15:00:0.38,  1:53:32.69, 1211.0,   0.00,   0.00,   1.43,   2.12,   0.83,   1.95,    2.515,    2.068,    1.107,    0.910,    4.9,     0.01,    111.7,    430
  16, 15:00:0.24,  1:53:31.22, 1211.3,   0.00,   0.00,   4.21,   6.98,   -NaN,    NaN,    2.634,    9.260,    1.159,    4.074,    3.3,      NaN,     -NaN,    453
  17, 15:00:0.27,  1:53:32.43, 1219.2,   0.00,   0.00,   1.23,   3.26,   1.42,   2.88,    2.307,    5.267,    1.015,    2.318,    3.0,     0.06,    186.6,    463
  18, 15:00:0.42,  1:53:31.70, 1220.8,  53.85,   5.32,   9.79,   0.77,   7.67,   0.72,   58.321,    1.889,   25.661,    0.831,   10.3,     0.17,    334.2,    367
  19, 15:00:0.63,  1:53:21.74, 1222.7,   0.00,   0.00,   1.61,   1.74,   0.65,   1.64,    2.501,    2.779,    1.100,    1.223,    3.6,     0.01,    301.9,    857
  20, 15:00:0.42,  1:53:30.57, 1227.8,  43.37,   4.18,   8.28,   0.88,   6.63,   0.71,   33.773,    1.653,   14.860,    0.728,    6.3,     0.15,    194.6,    234
  21, 15:00:0.36,  1:53:31.26, 1228.4,  50.15,   4.33,   5.63,   0.50,   4.72,   0.64,   33.790,    1.707,   14.868,    0.751,    7.9,     0.05,     29.4,    270
  22, 15:00:0.25,  1:53:32.98, 1230.3,   0.00,   0.00,   5.68,   8.77,   4.30,   8.32,   13.081,   22.576,    5.756,    9.934,    4.0,     0.06,    294.3,    523
  23, 15:00:0.45,  1:53:31.01, 1230.0,  43.41,   3.09,  11.20,   0.81,   9.18,   0.76,   72.646,    2.837,   31.964,    1.248,    9.7,     0.18,    347.4,    330
  24, 15:00:0.23,  1:53:32.50, 1224.0,   0.00,   0.00,    NaN,    NaN,    NaN,    NaN,      NaN,      NaN,      NaN,      NaN,    4.6,      NaN,     -NaN,    533
  25, 15:00:0.61,  1:53:19.39, 1238.0,   0.00,   0.00,   2.74,   5.76,   2.78,   8.54,    4.705,    5.848,    2.070,    2.573,    3.2,     0.09,    319.5,   1036
  26, 15:00:0.22,  1:53:37.79, 1236.7,   0.00,   0.00,   4.59,   4.42,   1.57,   5.53,    4.459,    7.925,    1.962,    3.487,    3.3,     0.06,    207.1,    980
  27, 15:00:0.30,  1:53:30.89, 1240.5,  69.24,   2.11,  17.11,   0.58,  16.13,   0.45,  341.192,    5.303,  150.125,    2.333,   11.6,     0.14,    255.1,    314
  28, 15:00:0.39,  1:53:30.25, 1245.9,   0.00,   0.00,   4.71,   1.77,   3.57,   1.99,    3.855,    0.941,    1.696,    0.414,    4.3,     0.08,     17.3,    168
  29, 15:00:0.46,  1:53:30.55, 1240.9,  65.05,   3.10,  13.00,   0.61,   8.82,   0.61,  123.088,    3.595,   54.159,    1.582,   10.1,     0.17,    285.5,    330
  30, 15:00:0.18,  1:53:32.60, 1240.4,   0.00,   0.00,   3.82,  11.49,   2.55,   9.30,    2.387,    4.922,    1.050,    2.166,    3.6,     0.03,    223.3,    629
  31, 15:00:0.28,  1:53:32.81, 1231.1,   0.00,   0.00,   9.53,   1.62,   8.15,   2.01,   11.692,    1.877,    5.145,    0.826,    4.5,     0.07,      4.2,    479
  32, 15:00:0.35,  1:53:34.66, 1244.3,   0.00,   0.00,   2.64,   4.31,   1.03,   1.82,    2.520,    4.588,    1.109,    2.019,    3.2,     0.08,    340.7,    633
  33, 15:00:0.37,  1:53:30.77, 1242.4,  15.93,  11.03,   3.11,   1.52,   2.51,   1.47,    3.859,    0.837,    1.698,    0.368,    4.1,     0.01,     12.1,    218
  34, 15:00:0.25,  1:53:32.04, 1245.7,   0.00,   0.00,   2.53,   4.78,   1.37,   2.12,    2.239,    2.750,    0.985,    1.210,    3.5,     0.06,     29.9,    464
  35, 15:00:0.42,  1:53:29.58, 1248.0,  16.76,  20.51,   2.94,   1.18,   2.11,   1.13,    4.665,    1.230,    2.052,    0.541,    3.8,     0.07,     22.1,    132
  36, 15:00:0.47,  1:53:31.00, 1245.8,  30.80,   5.85,   6.47,   0.94,   4.61,   1.04,   15.743,    1.091,    6.927,    0.480,    8.5,     0.16,    306.4,    376
  37, 15:00:0.21,  1:53:36.82, 1246.0,   0.00,   0.00,   -NaN,    NaN,   -NaN,    NaN,    0.383,    0.907,    0.169,    0.399,    3.4,     0.00,    202.2,    894
  38, 15:00:0.26,  1:53:39.89, 1243.6,   0.00,   0.00,   -NaN,   -NaN,   -NaN,   -NaN,    2.403,    5.120,    1.057,    2.253,    2.6,     0.04,    350.9,   1185
  39, 15:00:0.52,  1:53:30.71, 1249.5,   0.00,   0.00,   3.48,   2.20,   2.82,   1.99,    2.595,    0.938,    1.142,    0.413,    4.1,     0.07,      4.1,    472
  40, 15:00:0.35,  1:53:30.59, 1251.6,  15.92,  13.56,   3.56,   1.29,   2.54,   1.85,    3.607,    0.942,    1.587,    0.415,    3.9,     0.08,    354.7,    205
  41, 15:00:0.45,  1:53:37.07, 1252.2,   0.00,   0.00,   0.96,   2.75,   0.99,   2.72,    4.741,    5.190,    2.086,    2.284,    3.5,     0.05,     33.2,    988
  42, 15:00:0.22,  1:53:30.99, 1257.8,   0.00,   0.00,   7.89,   4.48,   5.70,   2.42,    7.512,    2.175,    3.305,    0.957,    4.0,     0.26,    235.4,    483
  43, 15:00:0.45,  1:53:30.78, 1258.1,   0.00,   0.00,   3.23,   3.56,   1.19,   2.55,    3.641,    4.947,    1.602,    2.177,    4.4,     0.05,    228.3,    314
  44, 15:00:0.38,  1:53:30.00, 1259.5,   0.00,   0.00,   2.08,   1.94,   1.06,   2.34,    0.840,    1.472,    0.369,    0.648,    4.2,     0.04,    280.1,    135
  45, 15:00:0.34,  1:53:29.06, 1261.5,   0.00,   0.00,   2.79,   3.54,   1.37,   3.31,    0.986,    1.526,    0.434,    0.671,    3.9,     0.02,     50.7,    159
  46, 15:00:0.26,  1:53:30.36, 1262.1,  34.59,   6.55,   5.03,   1.19,   3.23,   1.09,   14.277,    2.120,    6.282,    0.933,    6.9,     0.06,    147.2,    371
  47, 15:00:0.37,  1:53:30.48, 1254.3,   0.00,   0.00,   2.87,   2.67,   0.71,   1.67,    1.085,    1.382,    0.477,    0.608,    3.3,     0.08,    355.7,    186
  48, 15:00:0.44,  1:53:29.41, 1262.9,  21.24,  10.82,   2.93,   1.38,   2.02,   1.13,    5.015,    1.079,    2.206,    0.475,    4.2,     0.06,     46.5,    162
  49, 15:00:0.47,  1:53:30.16, 1261.6,  42.61,   4.77,   7.21,   0.83,   5.62,   1.10,   26.432,    1.815,   11.630,    0.798,    7.5,     0.08,    301.6,    323
  50, 15:00:0.42,  1:53:28.86, 1266.0,   0.00,   0.00,   -NaN,    NaN,   -NaN,    NaN,    0.215,    0.600,    0.095,    0.264,    4.9,      NaN,     -NaN,     69
  51, 15:00:0.22,  1:53:28.94, 1267.8,  34.10,   4.98,   7.11,   1.18,   5.83,   1.13,   19.037,    1.825,    8.376,    0.803,    6.7,     0.11,    342.3,    486
  52, 15:00:0.47,  1:53:29.73, 1269.7,  53.67,   3.44,   9.90,   0.66,   7.56,   0.89,   49.868,    1.852,   21.942,    0.815,    7.6,     0.05,    345.3,    278
  53, 15:00:0.27,  1:53:30.19, 1268.8,  41.32,  12.21,   4.73,   1.35,   2.81,   1.19,   19.951,    4.736,    8.779,    2.084,    6.0,     0.03,     52.1,    346
  54, 15:00:0.24,  1:53:29.52, 1266.7,  44.42,   3.99,  10.57,   1.29,   7.23,   1.45,   26.540,    2.447,   11.678,    1.077,    5.5,     0.25,    275.8,    436
  55, 15:00:0.26,  1:53:29.73, 1274.1,  33.91,   4.48,   5.41,   0.71,   4.39,   0.73,   16.525,    2.014,    7.271,    0.886,    5.6,     0.01,    295.4,    370
  56, 15:00:0.24,  1:53:30.06, 1272.9,  22.97,  10.23,   3.88,   1.02,   3.27,   1.33,    5.528,    1.600,    2.432,    0.704,    5.0,     0.03,    303.5,    429
  57, 15:00:0.33,  1:53:30.50, 1275.9,  27.43,   5.26,   5.12,   1.56,   3.83,   1.44,    9.652,    1.611,    4.247,    0.709,    4.3,     0.07,    106.5,    229
  58, 15:00:0.28,  1:53:30.77, 1279.9,  45.03,   4.48,   7.35,   0.77,   5.59,   0.79,   29.496,    1.569,   12.978,    0.691,    7.5,     0.13,    183.0,    329
  59, 15:00:0.52,  1:53:30.43, 1274.2,  56.71,   4.28,  10.14,   0.56,   7.98,   0.60,   76.181,    3.084,   33.519,    1.357,    7.2,     0.19,    219.6,    445
