Table 3 
Properties of GMCs in NGC 6946


Number	R.A._J2000	Decl._J2000	R	sigma_v	L_CO	M_vir	X_CO	
			(pc)	(km s^-1)	(10^5 K km s^-1 pc^2)	(10^5 M_sun)	(10^20 [cm^-2 (K km s^-1)^-1])	
1	20^h 34^m 52.s73	60deg 9' 12"	117	11.5	118	161	0.630	
2	20^h 34^m 52.s66	60deg 9' 14"	155	14.7	152	348	1.05	
3	20^h 34^m 52.s73	60deg 9' 13"	154	7.89	88.5	99.7	0.518	
4	20^h 34^m 53.s60	60deg 9' 19"	189	9.04	117	161	0.633	
5	20^h 34^m 51.s79	60deg 9' 18"	123	8.86	55.8	101	0.829	
6	20^h 34^m 52.s73	60deg 9'	89.7	10.5	31.7	104	1.50	
7	20^h 34^m 52.s80	60deg 9' 30"	146	9.91	46.2	149	1.49	
8	20^h 34^m 48.s05	60deg 7' 53"	145	5.84	28.9	51.6	0.822	
9	20^h 34^m 51.s66	60deg 9' 23"	113	14.2	50.1	236	2.17	
10	20^h 34^m 41.s48	60deg 8' 47"	43.8	3.82	3.09	6.64	0.989	
11	20^h 34^m 52.s20	60deg 9' 27"	94.8	12.0	28.7	143	2.29	
12	20^h 34^m 51.s93	60deg 9' 19"	95.8	17.6	42.0	309	3.38	
13	20^h 34^m 45.s77	60deg 8'	138	5.52	24.4	43.7	0.825	
14	20^h 34^m 41.s21	60deg 8' 49"	40.4	4.89	4.59	10.0	1.01	
15	20^h 34^m 42.s95	60deg 9' 6."5	116	8.01	23.0	77.1	1.54	
16	20^h 34^m 50.s72	60deg 8' 25"	98.0	5.87	13.5	35.1	1.20	
17	20^h 34^m 55.s08	60deg 9' 51"	45.2	4.90	4.66	11.3	1.11	
18	20^h 34^m 43.s22	60deg 8' 35"	76.0	2.76	6.49	6.04	0.428	
19	20^h 34^m 59.s76	60deg 8' 18"	89.5	5.02	8.55	23.4	1.26	
20	20^h 35^m 2.s913	60deg 9' 13"	57.8	2.63	3.33	4.17	0.576	
21	20^h 34^m 55.s88	60deg 8' 25"	60.3	2.76	3.22	4.79	0.683	
22	20^h 34^m 56.s01	60deg 8' 15"	82.0	3.84	5.87	12.6	0.986	
23	20^h 34^m 58.s09	60deg 8' 37"	37.4	2.56	2.06	2.55	0.569	
24	20^h 34^m 53.s80	60deg 8' 10"	49.3	2.85	2.21	4.15	0.863	
25	20^h 34^m 55.s34	60deg 8' 53"	59.3	4.59	4.06	13.0	1.48	
26	20^h 34^m 54.s67	60deg 8' 5."0	56.9	5.02	3.75	14.9	1.83	
27	20^h 34^m 50.s92	60deg 9' 58"	90.3	4.19	6.66	16.5	1.14	
28	20^h 34^m 53.s13	60deg 10'	65.7	3.51	3.80	8.42	1.02	
29	20^h 34^m 50.s32	60deg 8' 27"	60.9	3.15	3.43	6.29	0.844	
30	20^h 34^m 53.s07	60deg 8' 59"	39.2	5.40	1.89	11.9	2.90	
